Route_ID,Route_Name,Service_Type,Stop_Seq,Stop_Village_Name,District,Taluk,Stop_Category,Cumulative_Dist_km,Stop_Dwell_min,Cumulative_Travel_Time_min
YDG-SHP-01,Yadgir to Shahapur,Semi-Express Transit,1,Yadgir City Central Bus Stand,Yadgir,Yadgir,Major Hub,0.00,0,0
YDG-SHP-01,Yadgir to Shahapur,Semi-Express Transit,2,Hattikuni Village,Yadgir,Yadgir,Small Stop,14.52,24,24
YDG-SHP-01,Yadgir to Shahapur,Semi-Express Transit,3,Saidapur Cross,Yadgir,Yadgir,Small Stop,31.02,51,51
YDG-SHP-01,Yadgir to Shahapur,Semi-Express Transit,4,Shahapur Bus Stand,Yadgir,Shahapur,Destination,52.00,85,85
BLG-NAR-01,Belagavi to Narendra Bypass,Regional Feeder,1,Belagavi City CBT,Belagavi,Belagavi,Major Hub,0.00,0,0
BLG-NAR-01,Belagavi to Narendra Bypass,Regional Feeder,2,Suvarna Vidhana Soudhа,Belagavi,Belagavi,Small Stop,11.02,19,19
BLG-NAR-01,Belagavi to Narendra Bypass,Regional Feeder,3,Kondaskoppa Village,Belagavi,Belagavi,Small Stop,16.52,29,29
BLG-NAR-01,Belagavi to Narendra Bypass,Regional Feeder,4,Kittur Toll Plaza / Bus Stop,Belagavi,Bailhongal,Major Hub,44.05,73,73
BLG-NAR-01,Belagavi to Narendra Bypass,Regional Feeder,5,Narendra Cross / Bypass,Dharwad,Dharwad,Destination,68.00,107,107
VIJ-KLB-01,Vijayapura to Kalaburagi,Inter-District Transit,1,Vijayapura (Bijapur) City Bus Stand,Vijayapura,Vijayapura,Major Hub,0.00,0,0
VIJ-KLB-01,Vijayapura to Kalaburagi,Inter-District Transit,2,Kavalagi Village,Vijayapura,Vijayapura,Small Stop,18.02,26,26
VIJ-KLB-01,Vijayapura to Kalaburagi,Inter-District Transit,3,Sindagi KSRTC Bus Stand,Vijayapura,Sindagi,Major Hub,60.05,87,87
VIJ-KLB-01,Vijayapura to Kalaburagi,Inter-District Transit,4,Jevargi Bus Stand,Kalaburagi,Jevargi,Major Hub,112.05,161,161
VIJ-KLB-01,Vijayapura to Kalaburagi,Inter-District Transit,5,Kalaburagi Central Bus Stand,Kalaburagi,Kalaburagi,Destination,154.00,217,217
BID-CHG-01,Bidar to Chincholi,District Transit,1,Bidar City Central Bus Stand,Bidar,Bidar,Major Hub,0.00,0,0
BID-CHG-01,Bidar to Chincholi,District Transit,2,Bagdal Village,Bidar,Bidar,Small Stop,21.02,34,34
BID-CHG-01,Bidar to Chincholi,District Transit,3,Mannaekhelli Cross,Bidar,Humnabad,Major Hub,37.05,63,63
BID-CHG-01,Bidar to Chincholi,District Transit,4,Chimkod Cross,Kalaburagi,Chincholi,Small Stop,52.02,88,88
BID-CHG-01,Bidar to Chincholi,District Transit,5,Chincholi Bus Stand,Kalaburagi,Chincholi,Destination,68.00,114,114
RAI-DEV-01,Raichur to Devadurga,Rural Feeder,1,Raichur District Bus Stand,Raichur,Raichur,Major Hub,0.00,0,0
RAI-DEV-01,Raichur to Devadurga,Rural Feeder,2,Gabbur Cross,Raichur,Deodurga,Small Stop,26.02,54,54
RAI-DEV-01,Raichur to Devadurga,Rural Feeder,3,Pachedoddi Village,Raichur,Deodurga,Small Stop,38.02,80,80
RAI-DEV-01,Raichur to Devadurga,Rural Feeder,4,Devadurga Town Bus Stand,Raichur,Deodurga,Destination,56.00,118,118
